county,pop2021,GrowthRate,popDensity
Denver ,749103.00,24.1554,1031.3392
El Paso ,737031.00,17.543,1014.7189
Arapahoe ,666176.00,15.9077,917.1682
Jefferson ,589859.00,10.1412,812.0976
Adams ,529555.00,19.3522,729.0731
Larimer ,369377.00,22.9449,508.5455
Douglas ,367484.00,28.0535,505.9393
Weld ,343846.00,35.2622,473.3953
Boulder ,329316.00,11.6185,453.3909
Pueblo ,170428.00,6.9252,234.6394
Mesa ,156728.00,7.1579,215.7777
Broomfield ,72747.00,29.3832,100.1556
Garfield ,60781.00,8.3981,83.6812
La Plata ,56065.00,9.0525,77.1884
Eagle ,55495.00,6.5184,76.4036
Fremont ,47599.00,1.6269,65.5327
Montrose ,43862.00,6.4974,60.3877
Delta ,31718.00,2.7803,43.6683
Summit ,31399.00,11.8477,43.2291
Morgan ,29666.00,5.0459,40.8431
Elbert ,27581.00,19.1816,37.9726
Montezuma ,26245.00,2.6157,36.1332
Teller ,25938.00,10.5203,35.7105
Routt ,25900.00,10.5232,35.6582
Logan ,22691.00,-0.2593,31.2402
Chaffee ,20986.00,17.8459,28.8928
Park ,19485.00,19.6941,26.8263
Otero ,18158.00,-3.7171,24.9993
Gunnison ,18052.00,18.0564,24.8534
Pitkin ,17349.00,1.1368,23.8855
Alamosa ,16203.00,4.4344,22.3077
Grand ,16180.00,9.3539,22.2761
Archuleta ,14627.00,21.4262,20.138
Las Animas ,14502.00,-5.9655,19.9659
Moffat ,13483.00,-2.2546,18.5629
Prowers ,12358.00,-1.4906,17.0141
Rio Grande ,11259.00,-6.3545,15.501
Yuma ,10163.00,1.1344,13.9921
Clear Creek ,9892.00,8.9067,13.619
Lake ,8689.00,19.6173,11.9627
Conejos ,8253.00,-0.7098,11.3624
San Miguel ,8177.00,11.1458,11.2578
Kit Carson ,6973.00,-15.6118,9.6002
Huerfano ,6917.00,3.5324,9.5231
Saguache ,6792.00,10.691,9.351
Gilpin ,6505.00,18.8997,8.9559
Rio Blanco ,6312.00,-4.6958,8.6901
Crowley ,6269.00,6.9613,8.6309
Lincoln ,5891.00,7.6768,8.1105
Custer ,5336.00,24.702,7.3464
Ouray ,5212.00,16.9659,7.1757
Bent ,5115.00,-21.3077,7.0422
Washington ,4948.00,2.6343,6.8122
Phillips ,4225.00,-5.4598,5.8168
Costilla ,4037.00,14.395,5.558
Baca ,3575.00,-6.094,4.9219
Sedgwick ,2192.00,-7.5496,3.0179
Dolores ,2045.00,-1.16,2.8155
Cheyenne ,1775.00,-3.1642,2.4438
Kiowa ,1460.00,3.9886,2.0101
Jackson ,1386.00,-0.216,1.9082
Hinsdale ,844.00,0,1.162
Mineral ,763.00,8.3807,1.0505
San Juan ,656.00,-7.3446,0.9032
Middlesex,1618160.00,7.3278,2313.8522
Worcester,833758.00,4.1688,1192.2139
Suffolk,805427.00,10.9752,1151.7026
Essex,790736.00,6.0734,1130.6955
Norfolk,713865.00,6.0691,1020.7755
Bristol,567467.00,3.3325,811.4369
Plymouth,526762.00,6.2179,753.2317
Hampden,462340.00,-0.4086,661.1129
Barnstable,212028.00,-1.793,303.1848
Hampshire,160212.00,0.5542,229.0916
Berkshire,123030.00,-6.3107,175.924
Franklin,69318.00,-2.8738,99.1197
Dukes,17338.00,4.6223,24.7921
Nantucket,11801.00,16.0602,16.8746
