state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,7/7/20,Raw Pre-Rolls,0,226922.72,226922.72
MA,8/3/19,Kief,0,1255.27,1255.27
MA,5/3/19,Infused (edible),215345.81,0,215345.81
MA,8/1/19,Concentrate (Each),476548.96,0,476548.96
MA,1/20/21,Infused (non-edible),7668.56,0,7668.56
MA,1/21/20,Shake/Trim,0,315,315
MA,2/13/21,Infused (non-edible),23939.96,0,23939.96
MA,12/4/19,Shake/Trim (by strain),0,11774.77,11774.77
MA,3/30/19,Infused (edible),230595.65,0,230595.65
MA,8/13/20,Infused (edible),346487.77,0,346487.77
MA,11/29/20,Concentrate (Each),137893.57,0,137893.57
MA,12/20/19,Infused (non-edible),20335.18,0,20335.18
MA,5/9/19,Infused (edible),149147.22,0,149147.22
MA,5/7/19,Infused (non-edible),17366.05,0,17366.05
MA,8/12/20,Infused Pre-Rolls,0,6018.5,6018.5
MA,4/11/21,Raw Pre-Rolls,0,397462.64,397462.64
MA,10/16/19,Concentrate,0,12362.75,12362.75
MA,1/24/20,Infused Pre-Rolls,0,80,80
MA,3/20/21,Concentrate (Each),322049.22,0,322049.22
MA,2/7/21,Raw Pre-Rolls,0,211506.97,211506.97
MA,11/24/19,Shake/Trim (by strain),0,10642.5,10642.5
MA,12/11/20,Infused Pre-Rolls,0,5531.5,5531.5
MA,12/31/18,Shake/Trim (by strain),0,6847.2,6847.2
MA,6/8/19,Raw Pre-Rolls,0,16954.18,16954.18
MA,6/9/20,Shake/Trim (by strain),0,5272.9,5272.9
MA,10/21/20,Vape Product,425536.88,0,425536.88
MA,10/2/19,Concentrate,0,16523.75,16523.75
MA,6/5/19,Raw Pre-Rolls,0,31770.6,31770.6
MA,8/16/20,Buds,0,1135385.78,1135385.78
MA,10/20/20,Vape Product,393870.61,0,393870.61
MA,9/14/19,Infused (non-edible),78676.51,0,78676.51
MA,2/2/19,Infused (edible),114245.03,0,114245.03
MA,2/11/20,Concentrate,0,16275,16275
MA,1/21/19,Infused (edible),45967.79,0,45967.79
MA,9/6/20,Infused Pre-Rolls,0,14160.39,14160.39
MA,3/26/21,Infused Pre-Rolls,0,18706.75,18706.75
MA,5/9/21,Kief,0,2286.33,2286.33
MA,3/6/21,Buds,0,1722936.87,1722936.87
MA,12/2/19,Kief,0,1534.62,1534.62
MA,10/13/20,Vape Product,358046.77,0,358046.77
MA,12/28/20,Shake/Trim,0,568,568
MA,4/15/19,Infused (edible),107380.27,0,107380.27
MA,1/1/21,Raw Pre-Rolls,0,199819.33,199819.33
MA,12/5/19,Buds,0,833619.72,833619.72
MA,8/5/19,Buds,0,589525,589525
MA,4/18/21,Shake/Trim (by strain),0,35468.69,35468.69
MA,3/15/19,Concentrate (Each),283906.37,0,283906.37
MA,11/30/18,Infused (non-edible),2628.93,0,2628.93
MA,9/18/19,Concentrate,0,7087.31,7087.31
MA,1/20/21,Vape Product,452289.14,0,452289.14
MA,12/21/19,Vape Product,58204.48,0,58204.48
MA,7/6/20,Vape Product,364580.21,0,364580.21
MA,1/29/19,Buds,10257.11,234460.18,244717.29
MA,11/4/19,Buds,0,591291.1,591291.1
MA,1/2/21,Infused Pre-Rolls,0,11723.58,11723.58
MA,7/2/20,Infused (non-edible),10425.28,0,10425.28
MA,1/11/19,Infused (non-edible),26001.25,0,26001.25
MA,8/17/19,Concentrate (Each),597310.97,0,597310.97
MA,6/21/20,Infused (non-edible),7381.68,0,7381.68
MA,11/2/19,Infused Pre-Rolls,0,14543.86,14543.86
MA,10/1/20,Shake/Trim,0,1950,1950
MA,11/4/20,Raw Pre-Rolls,0,264259.44,264259.44
MA,2/10/21,Vape Product,535340.85,0,535340.85
MA,2/3/21,Concentrate,0,44216.73,44216.73
